52.280391	92.723750
N_steps             : 20001
error(proposed)     : 52.280391
error(original)     : 92.723750
A01_Estimator_Total_Time                           : 492.506299
A02_Estimator_Setup_Time                           : 2.364346
A03_Estimator_Solving_Time                         : 433.076715
A04_Estimator_Filtering_Process_Time               : 1.845958
A05_Estimator_KF_Process_Time                      : 53.955011
A06_Solver_PMSs_Solving_Time                       : 418.577455
B01_Number_of_PMSs                                 : 9.293446
B02_Number_of_Filtered_PMSs                        : 3.874369
B03_Number_of_PMSs_to_KF                           : 3.874369
C01_Number_of_Selection_Fail_Timesteps             : 0.020199
C02_Number_of_opt1_Fail                            : 0.000000
C03_Number_of_Threshold_opt_Fail                   : 0.000000
C04_Number_of_Kalman_Filter_Fail_Timesteps         : 0.000000
D01_Number_of_Reflections(sim)                     : 0.743127
D02_Number_of_Reflections_Twice(sim)               : 0.000000
E01_Number_of_Selected_Beacons                     : 3.000000
F01_Number_of_Failed_Timesteps                     : 0.019799
F02_Number_of_Timesteps                            : 20001.000000
G01_Estimation_Error(sim)                          : 52.280391
G02_Estimation_Error_Reference(sim)                : 92.723750
G03_Estimation_Error_Except_Fail                   : 46.940242
G04_Estimation_Error_Except_Fail_Ref               : 87.752380
G05_Estimation_Error_Except_Strict_Fail            : 46.940242
G06_Estimation_Error_Except_Strict_Fail_Ref        : 87.752380
H01_Reception_Fails(<3)                            : 0.019799
H02_Reception_Fails_Ref.(<3)                       : 0.019799
H03_Strict_Reception_Fails(<_NV)                   : 0.019799
H04_Strict_Reception_Fails_Ref.(<_NV)              : 0.019799
