31.864384	68.155508
N_steps             : 20001
error(proposed)     : 31.864384
error(original)     : 68.155508
A01_Estimator_Total_Time                           : 1351.253061
A02_Estimator_Setup_Time                           : 2.657565
A03_Estimator_Solving_Time                         : 1285.624817
A04_Estimator_Filtering_Process_Time               : 5.088871
A05_Estimator_KF_Process_Time                      : 56.494937
A06_Solver_PMSs_Solving_Time                       : 1248.749811
B01_Number_of_PMSs                                 : 24.035619
B02_Number_of_Filtered_PMSs                        : 3.830067
B03_Number_of_PMSs_to_KF                           : 3.830067
C01_Number_of_Selection_Fail_Timesteps             : 0.000000
C02_Number_of_opt1_Fail                            : 0.000000
C03_Number_of_Threshold_opt_Fail                   : 0.007658
C04_Number_of_Kalman_Filter_Fail_Timesteps         : 0.007658
D01_Number_of_Reflections(sim)                     : 0.915361
D02_Number_of_Reflections_Twice(sim)               : 0.000000
E01_Number_of_Selected_Beacons                     : 3.997834
F01_Number_of_Failed_Timesteps                     : 0.007600
F02_Number_of_Timesteps                            : 20001.000000
G01_Estimation_Error(sim)                          : 31.864384
G02_Estimation_Error_Reference(sim)                : 68.155508
G03_Estimation_Error_Except_Fail                   : 31.864384
G04_Estimation_Error_Except_Fail_Ref               : 68.155508
G05_Estimation_Error_Except_Strict_Fail            : 31.392927
G06_Estimation_Error_Except_Strict_Fail_Ref        : 66.611866
H01_Reception_Fails(<3)                            : 0.000000
H02_Reception_Fails_Ref.(<3)                       : 0.000000
H03_Strict_Reception_Fails(<_NV)                   : 0.032548
H04_Strict_Reception_Fails_Ref.(<_NV)              : 0.032548
