101.316250	141.368398
N_steps             : 20001
error(proposed)     : 101.316250
error(original)     : 141.368398
A01_Estimator_Total_Time                           : 1590.807618
A02_Estimator_Setup_Time                           : 3.657234
A03_Estimator_Solving_Time                         : 1522.058579
A04_Estimator_Filtering_Process_Time               : 5.449040
A05_Estimator_KF_Process_Time                      : 58.190845
A06_Solver_PMSs_Solving_Time                       : 1474.786492
B01_Number_of_PMSs                                 : 30.804738
B02_Number_of_Filtered_PMSs                        : 4.005250
B03_Number_of_PMSs_to_KF                           : 4.005250
C01_Number_of_Selection_Fail_Timesteps             : 0.253777
C02_Number_of_opt1_Fail                            : 0.000000
C03_Number_of_Threshold_opt_Fail                   : 0.026697
C04_Number_of_Kalman_Filter_Fail_Timesteps         : 0.026697
D01_Number_of_Reflections(sim)                     : 0.556722
D02_Number_of_Reflections_Twice(sim)               : 0.000000
E01_Number_of_Selected_Beacons                     : 4.254353
F01_Number_of_Failed_Timesteps                     : 0.219039
F02_Number_of_Timesteps                            : 20001.000000
G01_Estimation_Error(sim)                          : 101.316250
G02_Estimation_Error_Reference(sim)                : 141.368398
G03_Estimation_Error_Except_Fail                   : 60.390293
G04_Estimation_Error_Except_Fail_Ref               : 91.799583
G05_Estimation_Error_Except_Strict_Fail            : 31.890410
G06_Estimation_Error_Except_Strict_Fail_Ref        : 41.621387
H01_Reception_Fails(<3)                            : 0.198190
H02_Reception_Fails_Ref.(<3)                       : 0.198190
H03_Strict_Reception_Fails(<_NV)                   : 0.662617
H04_Strict_Reception_Fails_Ref.(<_NV)              : 0.662617
