213.480386	192.356946
N_steps             : 20000
error(proposed)     : 213.480386
error(original)     : 192.356946
A01_Estimator_Total_Time                           : 633093.341935
A02_Estimator_Setup_Time                           : 2.070937
A03_Estimator_Solving_Time                         : 515024.651438
A04_Estimator_Filtering_Process_Time               : 0.000000
A05_Estimator_KF_Process_Time                      : 117815.488428
A06_Solver_PMSs_Solving_Time                       : 507324.855716
B01_Number_of_PMSs                                 : 7840.581455
B02_Number_of_Filtered_PMSs                        : 0.000000
B03_Number_of_PMSs_to_KF                           : 7840.581455
C01_Number_of_Selection_Fail_Timesteps             : 0.004066
C02_Number_of_opt1_Fail                            : 0.000000
C03_Number_of_Threshold_opt_Fail                   : 0.000000
C04_Number_of_Kalman_Filter_Fail_Timesteps         : 0.000000
D01_Number_of_Reflections(sim)                     : 2.057834
D02_Number_of_Reflections_Twice(sim)               : 0.045283
E01_Number_of_Selected_Beacons                     : 3.993474
F01_Number_of_Failed_Timesteps                     : 0.004050
F02_Number_of_Timesteps                            : 20000.000000
G01_Estimation_Error(sim)                          : 213.480386
G02_Estimation_Error_Reference(sim)                : 192.356946
G03_Estimation_Error_Except_Fail                   : 213.050566
G04_Estimation_Error_Except_Fail_Ref               : 192.106801
G05_Estimation_Error_Except_Strict_Fail            : 212.258914
G06_Estimation_Error_Except_Strict_Fail_Ref        : 190.722427
H01_Reception_Fails(<3)                            : 0.004050
H02_Reception_Fails_Ref.(<3)                       : 0.004050
H03_Strict_Reception_Fails(<_NV)                   : 0.010550
H04_Strict_Reception_Fails_Ref.(<_NV)              : 0.010550
