22.394778	190.981012
N_steps             : 20001
error(proposed)     : 22.394778
error(original)     : 190.981012
A01_Estimator_Total_Time                           : 4034.451527
A02_Estimator_Setup_Time                           : 4.818049
A03_Estimator_Solving_Time                         : 3956.574826
A04_Estimator_Filtering_Process_Time               : 13.732793
A05_Estimator_KF_Process_Time                      : 55.120578
A06_Solver_PMSs_Solving_Time                       : 3853.995465
B01_Number_of_PMSs                                 : 74.533105
B02_Number_of_Filtered_PMSs                        : 3.344855
B03_Number_of_PMSs_to_KF                           : 3.344855
C01_Number_of_Selection_Fail_Timesteps             : 0.000000
C02_Number_of_opt1_Fail                            : 0.000000
C03_Number_of_Threshold_opt_Fail                   : 0.007810
C04_Number_of_Kalman_Filter_Fail_Timesteps         : 0.007810
D01_Number_of_Reflections(sim)                     : 8.367983
D02_Number_of_Reflections_Twice(sim)               : 0.000000
E01_Number_of_Selected_Beacons                     : 5.039051
F01_Number_of_Failed_Timesteps                     : 0.007750
F02_Number_of_Timesteps                            : 20001.000000
G01_Estimation_Error(sim)                          : 22.394778
G02_Estimation_Error_Reference(sim)                : 190.981012
G03_Estimation_Error_Except_Fail                   : 22.394778
G04_Estimation_Error_Except_Fail_Ref               : 190.981012
G05_Estimation_Error_Except_Strict_Fail            : 22.394778
G06_Estimation_Error_Except_Strict_Fail_Ref        : 190.981012
H01_Reception_Fails(<3)                            : 0.000000
H02_Reception_Fails_Ref.(<3)                       : 0.000000
H03_Strict_Reception_Fails(<_NV)                   : 0.000000
H04_Strict_Reception_Fails_Ref.(<_NV)              : 0.000000
