61.112934	80.253414
N_steps             : 20000
error(proposed)     : 61.112934
error(original)     : 80.253414
A01_Estimator_Total_Time                           : 16208.926936
A02_Estimator_Setup_Time                           : 8.497323
A03_Estimator_Solving_Time                         : 15159.876867
A04_Estimator_Filtering_Process_Time               : 72.699026
A05_Estimator_KF_Process_Time                      : 954.954061
A06_Solver_PMSs_Solving_Time                       : 14771.357110
B01_Number_of_PMSs                                 : 147.598990
B02_Number_of_Filtered_PMSs                        : 27.086167
B03_Number_of_PMSs_to_KF                           : 27.086167
C01_Number_of_Selection_Fail_Timesteps             : 0.019273
C02_Number_of_opt1_Fail                            : 0.000000
C03_Number_of_Threshold_opt_Fail                   : 0.000459
C04_Number_of_Kalman_Filter_Fail_Timesteps         : 0.000459
D01_Number_of_Reflections(sim)                     : 2.211237
D02_Number_of_Reflections_Twice(sim)               : 0.228420
E01_Number_of_Selected_Beacons                     : 3.987406
F01_Number_of_Failed_Timesteps                     : 0.019350
F02_Number_of_Timesteps                            : 20000.000000
G01_Estimation_Error(sim)                          : 61.112934
G02_Estimation_Error_Reference(sim)                : 80.253414
G03_Estimation_Error_Except_Fail                   : 60.064882
G04_Estimation_Error_Except_Fail_Ref               : 78.118583
G05_Estimation_Error_Except_Strict_Fail            : 59.376042
G06_Estimation_Error_Except_Strict_Fail_Ref        : 76.361125
H01_Reception_Fails(<3)                            : 0.018900
H02_Reception_Fails_Ref.(<3)                       : 0.018900
H03_Strict_Reception_Fails(<_NV)                   : 0.033050
H04_Strict_Reception_Fails_Ref.(<_NV)              : 0.033050
