69.472693	62.191785
N_steps             : 20001
error(proposed)     : 69.472693
error(original)     : 62.191785
A01_Estimator_Total_Time                           : 832.354990
A02_Estimator_Setup_Time                           : 3.888416
A03_Estimator_Solving_Time                         : 791.340282
A04_Estimator_Filtering_Process_Time               : 2.497934
A05_Estimator_KF_Process_Time                      : 33.796524
A06_Solver_PMSs_Solving_Time                       : 764.094627
B01_Number_of_PMSs                                 : 10.680746
B02_Number_of_Filtered_PMSs                        : 1.733621
B03_Number_of_PMSs_to_KF                           : 1.733621
C01_Number_of_Selection_Fail_Timesteps             : 0.158381
C02_Number_of_opt1_Fail                            : 0.000000
C03_Number_of_Threshold_opt_Fail                   : 0.057190
C04_Number_of_Kalman_Filter_Fail_Timesteps         : 0.057190
D01_Number_of_Reflections(sim)                     : 0.170111
D02_Number_of_Reflections_Twice(sim)               : 0.000000
E01_Number_of_Selected_Beacons                     : 4.710891
F01_Number_of_Failed_Timesteps                     : 0.177341
F02_Number_of_Timesteps                            : 20001.000000
G01_Estimation_Error(sim)                          : 69.472693
G02_Estimation_Error_Reference(sim)                : 62.191785
G03_Estimation_Error_Except_Fail                   : 40.983586
G04_Estimation_Error_Except_Fail_Ref               : 35.809032
G05_Estimation_Error_Except_Strict_Fail            : 22.788062
G06_Estimation_Error_Except_Strict_Fail_Ref        : 25.925753
H01_Reception_Fails(<3)                            : 0.130293
H02_Reception_Fails_Ref.(<3)                       : 0.130293
H03_Strict_Reception_Fails(<_NV)                   : 0.457227
H04_Strict_Reception_Fails_Ref.(<_NV)              : 0.457227
