22.234523	165.043344
N_steps             : 20001
error(proposed)     : 22.234523
error(original)     : 165.043344
A01_Estimator_Total_Time                           : 4172.184501
A02_Estimator_Setup_Time                           : 3.759051
A03_Estimator_Solving_Time                         : 4094.739010
A04_Estimator_Filtering_Process_Time               : 15.500831
A05_Estimator_KF_Process_Time                      : 55.693791
A06_Solver_PMSs_Solving_Time                       : 3986.450023
B01_Number_of_PMSs                                 : 73.764188
B02_Number_of_Filtered_PMSs                        : 3.326804
B03_Number_of_PMSs_to_KF                           : 3.326804
C01_Number_of_Selection_Fail_Timesteps             : 0.000000
C02_Number_of_opt1_Fail                            : 0.000000
C03_Number_of_Threshold_opt_Fail                   : 0.007150
C04_Number_of_Kalman_Filter_Fail_Timesteps         : 0.007150
D01_Number_of_Reflections(sim)                     : 6.424039
D02_Number_of_Reflections_Twice(sim)               : 0.000000
E01_Number_of_Selected_Beacons                     : 5.035752
F01_Number_of_Failed_Timesteps                     : 0.007100
F02_Number_of_Timesteps                            : 20001.000000
G01_Estimation_Error(sim)                          : 22.234523
G02_Estimation_Error_Reference(sim)                : 165.043344
G03_Estimation_Error_Except_Fail                   : 22.234523
G04_Estimation_Error_Except_Fail_Ref               : 165.043344
G05_Estimation_Error_Except_Strict_Fail            : 22.234523
G06_Estimation_Error_Except_Strict_Fail_Ref        : 165.043344
H01_Reception_Fails(<3)                            : 0.000000
H02_Reception_Fails_Ref.(<3)                       : 0.000000
H03_Strict_Reception_Fails(<_NV)                   : 0.000000
H04_Strict_Reception_Fails_Ref.(<_NV)              : 0.000000
