86.103362	104.464654
N_steps             : 20000
error(proposed)     : 86.103362
error(original)     : 104.464654
A01_Estimator_Total_Time                           : 4307.179238
A02_Estimator_Setup_Time                           : 3.909897
A03_Estimator_Solving_Time                         : 3890.739476
A04_Estimator_Filtering_Process_Time               : 18.130721
A05_Estimator_KF_Process_Time                      : 391.179390
A06_Solver_PMSs_Solving_Time                       : 3828.060646
B01_Number_of_PMSs                                 : 51.699776
B02_Number_of_Filtered_PMSs                        : 17.604984
B03_Number_of_PMSs_to_KF                           : 17.604984
C01_Number_of_Selection_Fail_Timesteps             : 0.019264
C02_Number_of_opt1_Fail                            : 0.000000
C03_Number_of_Threshold_opt_Fail                   : 0.000000
C04_Number_of_Kalman_Filter_Fail_Timesteps         : 0.000000
D01_Number_of_Reflections(sim)                     : 2.210223
D02_Number_of_Reflections_Twice(sim)               : 0.228315
E01_Number_of_Selected_Beacons                     : 3.000000
F01_Number_of_Failed_Timesteps                     : 0.018900
F02_Number_of_Timesteps                            : 20000.000000
G01_Estimation_Error(sim)                          : 86.103362
G02_Estimation_Error_Reference(sim)                : 104.464654
G03_Estimation_Error_Except_Fail                   : 85.314496
G04_Estimation_Error_Except_Fail_Ref               : 102.722630
G05_Estimation_Error_Except_Strict_Fail            : 85.314496
G06_Estimation_Error_Except_Strict_Fail_Ref        : 102.722630
H01_Reception_Fails(<3)                            : 0.018900
H02_Reception_Fails_Ref.(<3)                       : 0.018900
H03_Strict_Reception_Fails(<_NV)                   : 0.018900
H04_Strict_Reception_Fails_Ref.(<_NV)              : 0.018900
