257.324917	247.446712
N_steps             : 20001
error(proposed)     : 257.324917
error(original)     : 247.446712
A01_Estimator_Total_Time                           : 607.792878
A02_Estimator_Setup_Time                           : 4.427295
A03_Estimator_Solving_Time                         : 541.055894
A04_Estimator_Filtering_Process_Time               : 1.808483
A05_Estimator_KF_Process_Time                      : 59.190098
A06_Solver_PMSs_Solving_Time                       : 519.348844
B01_Number_of_PMSs                                 : 10.250674
B02_Number_of_Filtered_PMSs                        : 4.268549
B03_Number_of_PMSs_to_KF                           : 4.268549
C01_Number_of_Selection_Fail_Timesteps             : 1.837140
C02_Number_of_opt1_Fail                            : 0.000000
C03_Number_of_Threshold_opt_Fail                   : 0.000284
C04_Number_of_Kalman_Filter_Fail_Timesteps         : 0.000284
D01_Number_of_Reflections(sim)                     : 0.472833
D02_Number_of_Reflections_Twice(sim)               : 0.000000
E01_Number_of_Selected_Beacons                     : 3.000851
F01_Number_of_Failed_Timesteps                     : 0.647568
F02_Number_of_Timesteps                            : 20001.000000
G01_Estimation_Error(sim)                          : 257.324917
G02_Estimation_Error_Reference(sim)                : 247.446712
G03_Estimation_Error_Except_Fail                   : 128.725515
G04_Estimation_Error_Except_Fail_Ref               : 55.764793
G05_Estimation_Error_Except_Strict_Fail            : 128.725515
G06_Estimation_Error_Except_Strict_Fail_Ref        : 55.764793
H01_Reception_Fails(<3)                            : 0.647468
H02_Reception_Fails_Ref.(<3)                       : 0.647468
H03_Strict_Reception_Fails(<_NV)                   : 0.647468
H04_Strict_Reception_Fails_Ref.(<_NV)              : 0.647468
