72.583194	117.079515
N_steps             : 20001
error(proposed)     : 72.583194
error(original)     : 117.079515
A01_Estimator_Total_Time                           : 603.759105
A02_Estimator_Setup_Time                           : 3.455823
A03_Estimator_Solving_Time                         : 537.543926
A04_Estimator_Filtering_Process_Time               : 1.668901
A05_Estimator_KF_Process_Time                      : 59.921403
A06_Solver_PMSs_Solving_Time                       : 520.284070
B01_Number_of_PMSs                                 : 9.737593
B02_Number_of_Filtered_PMSs                        : 4.282520
C01_Number_of_Selection_Fail_Timesteps             : 0.000300
C02_Number_of_opt1_Fail                            : 0.000000
C03_Number_of_Threshold_opt_Fail                   : 0.000350
C04_Number_of_Kalman_Filter_Fail_Timesteps         : 0.000350
D01_Number_of_Reflections(sim)                     : 1.140434
D02_Number_of_Reflections_Twice(sim)               : 0.000000
E01_Number_of_Selected_Beacons                     : 3.001051
F01_Number_of_Failed_Timesteps                     : 0.000650
F02_Number_of_Timesteps                            : 20001.000000
G01_Estimation_Error(sim)                          : 72.583194
G02_Estimation_Error_Reference(sim)                : 117.079515
G03_Estimation_Error_Except_Fail                   : 72.567493
G04_Estimation_Error_Except_Fail_Ref               : 116.947285
G05_Estimation_Error_Except_Strict_Fail            : 72.567493
G06_Estimation_Error_Except_Strict_Fail_Ref        : 116.947285
H01_Reception_Fails(<3)                            : 0.000300
H02_Reception_Fails_Ref.(<3)                       : 0.000300
H03_Strict_Reception_Fails(<_NV)                   : 0.000300
H04_Strict_Reception_Fails_Ref.(<_NV)              : 0.000300
