139.716800	152.394865
N_steps             : 20001
error(proposed)     : 139.716800
error(original)     : 152.394865
A01_Estimator_Total_Time                           : 1106.348739
A02_Estimator_Setup_Time                           : 2.837538
A03_Estimator_Solving_Time                         : 1023.763638
A04_Estimator_Filtering_Process_Time               : 3.867232
A05_Estimator_KF_Process_Time                      : 74.431644
A06_Solver_PMSs_Solving_Time                       : 987.530029
B01_Number_of_PMSs                                 : 21.990846
B02_Number_of_Filtered_PMSs                        : 4.869837
B03_Number_of_PMSs_to_KF                           : 4.869837
C01_Number_of_Selection_Fail_Timesteps             : 0.480390
C02_Number_of_opt1_Fail                            : 0.000000
C03_Number_of_Threshold_opt_Fail                   : 0.008112
C04_Number_of_Kalman_Filter_Fail_Timesteps         : 0.008112
D01_Number_of_Reflections(sim)                     : 0.613381
D02_Number_of_Reflections_Twice(sim)               : 0.000000
E01_Number_of_Selected_Beacons                     : 3.624991
F01_Number_of_Failed_Timesteps                     : 0.328184
F02_Number_of_Timesteps                            : 20001.000000
G01_Estimation_Error(sim)                          : 139.716800
G02_Estimation_Error_Reference(sim)                : 152.394865
G03_Estimation_Error_Except_Fail                   : 82.481768
G04_Estimation_Error_Except_Fail_Ref               : 86.793714
G05_Estimation_Error_Except_Strict_Fail            : 53.043283
G06_Estimation_Error_Except_Strict_Fail_Ref        : 53.887243
H01_Reception_Fails(<3)                            : 0.322734
H02_Reception_Fails_Ref.(<3)                       : 0.322734
H03_Strict_Reception_Fails(<_NV)                   : 0.596470
H04_Strict_Reception_Fails_Ref.(<_NV)              : 0.596470
