32.997038	232.235551
N_steps             : 20000
error(proposed)     : 32.997038
error(original)     : 232.235551
A01_Estimator_Total_Time                           : 12901.917920
A02_Estimator_Setup_Time                           : 10.510738
A03_Estimator_Solving_Time                         : 12634.777750
A04_Estimator_Filtering_Process_Time               : 60.841825
A05_Estimator_KF_Process_Time                      : 185.316552
A06_Solver_PMSs_Solving_Time                       : 12153.841825
B01_Number_of_PMSs                                 : 261.283861
B02_Number_of_Filtered_PMSs                        : 7.879545
B03_Number_of_PMSs_to_KF                           : 7.879545
C01_Number_of_Selection_Fail_Timesteps             : 0.001308
C02_Number_of_opt1_Fail                            : 0.000000
C03_Number_of_Threshold_opt_Fail                   : 0.004577
C04_Number_of_Kalman_Filter_Fail_Timesteps         : 0.004577
D01_Number_of_Reflections(sim)                     : 4.528894
D02_Number_of_Reflections_Twice(sim)               : 0.008852
E01_Number_of_Selected_Beacons                     : 5.015139
F01_Number_of_Failed_Timesteps                     : 0.005850
F02_Number_of_Timesteps                            : 20000.000000
G01_Estimation_Error(sim)                          : 32.997038
G02_Estimation_Error_Reference(sim)                : 232.235551
G03_Estimation_Error_Except_Fail                   : 32.929918
G04_Estimation_Error_Except_Fail_Ref               : 232.459144
G05_Estimation_Error_Except_Strict_Fail            : 32.917127
G06_Estimation_Error_Except_Strict_Fail_Ref        : 232.029341
H01_Reception_Fails(<3)                            : 0.001300
H02_Reception_Fails_Ref.(<3)                       : 0.001300
H03_Strict_Reception_Fails(<_NV)                   : 0.008950
H04_Strict_Reception_Fails_Ref.(<_NV)              : 0.008950
