128.450213	302.207253
N_steps             : 20000
error(proposed)     : 128.450213
error(original)     : 302.207253
A01_Estimator_Total_Time                           : 2629.222639
A02_Estimator_Setup_Time                           : 1.257585
A03_Estimator_Solving_Time                         : 2141.068339
A04_Estimator_Filtering_Process_Time               : 0.000000
A05_Estimator_KF_Process_Time                      : 486.195404
A06_Solver_PMSs_Solving_Time                       : 2110.703515
B01_Number_of_PMSs                                 : 48.217783
B02_Number_of_Filtered_PMSs                        : 0.000000
B03_Number_of_PMSs_to_KF                           : 48.217783
C01_Number_of_Selection_Fail_Timesteps             : 0.001302
C02_Number_of_opt1_Fail                            : 0.000000
C03_Number_of_Threshold_opt_Fail                   : 0.000000
C04_Number_of_Kalman_Filter_Fail_Timesteps         : 0.000000
D01_Number_of_Reflections(sim)                     : 4.508261
D02_Number_of_Reflections_Twice(sim)               : 0.008811
E01_Number_of_Selected_Beacons                     : 3.000000
F01_Number_of_Failed_Timesteps                     : 0.001300
F02_Number_of_Timesteps                            : 20000.000000
G01_Estimation_Error(sim)                          : 128.450213
G02_Estimation_Error_Reference(sim)                : 302.207253
G03_Estimation_Error_Except_Fail                   : 128.512203
G04_Estimation_Error_Except_Fail_Ref               : 302.521928
G05_Estimation_Error_Except_Strict_Fail            : 128.512203
G06_Estimation_Error_Except_Strict_Fail_Ref        : 302.521928
H01_Reception_Fails(<3)                            : 0.001300
H02_Reception_Fails_Ref.(<3)                       : 0.001300
H03_Strict_Reception_Fails(<_NV)                   : 0.001300
H04_Strict_Reception_Fails_Ref.(<_NV)              : 0.001300
