37.860134	74.764773
N_steps             : 20001
error(proposed)     : 37.860134
error(original)     : 74.764773
A01_Estimator_Total_Time                           : 1448.641062
A02_Estimator_Setup_Time                           : 2.919760
A03_Estimator_Solving_Time                         : 1369.309374
A04_Estimator_Filtering_Process_Time               : 5.346497
A05_Estimator_KF_Process_Time                      : 69.776810
A06_Solver_PMSs_Solving_Time                       : 1331.784315
B01_Number_of_PMSs                                 : 24.671637
B02_Number_of_Filtered_PMSs                        : 4.154032
B03_Number_of_PMSs_to_KF                           : 4.154032
C01_Number_of_Selection_Fail_Timesteps             : 0.000353
C02_Number_of_opt1_Fail                            : 0.000000
C03_Number_of_Threshold_opt_Fail                   : 0.007102
C04_Number_of_Kalman_Filter_Fail_Timesteps         : 0.007102
D01_Number_of_Reflections(sim)                     : 1.082103
D02_Number_of_Reflections_Twice(sim)               : 0.000000
E01_Number_of_Selected_Beacons                     : 3.994510
F01_Number_of_Failed_Timesteps                     : 0.007400
F02_Number_of_Timesteps                            : 20001.000000
G01_Estimation_Error(sim)                          : 37.860134
G02_Estimation_Error_Reference(sim)                : 74.764773
G03_Estimation_Error_Except_Fail                   : 37.823444
G04_Estimation_Error_Except_Fail_Ref               : 74.603145
G05_Estimation_Error_Except_Strict_Fail            : 36.834760
G06_Estimation_Error_Except_Strict_Fail_Ref        : 74.792751
H01_Reception_Fails(<3)                            : 0.000350
H02_Reception_Fails_Ref.(<3)                       : 0.000350
H03_Strict_Reception_Fails(<_NV)                   : 0.033998
H04_Strict_Reception_Fails_Ref.(<_NV)              : 0.033998
