88.269088	300.146448
N_steps             : 20001
error(proposed)     : 88.269088
error(original)     : 300.146448
A01_Estimator_Total_Time                           : 5428.107157
A02_Estimator_Setup_Time                           : 11.184811
A03_Estimator_Solving_Time                         : 5146.839767
A04_Estimator_Filtering_Process_Time               : 20.468938
A05_Estimator_KF_Process_Time                      : 245.112234
A06_Solver_PMSs_Solving_Time                       : 5018.487234
B01_Number_of_PMSs                                 : 84.951297
B02_Number_of_Filtered_PMSs                        : 15.206373
C01_Number_of_Selection_Fail_Timesteps             : 0.000000
C02_Number_of_opt1_Fail                            : 0.000000
C03_Number_of_Threshold_opt_Fail                   : 0.005277
C04_Number_of_Kalman_Filter_Fail_Timesteps         : 0.005277
D01_Number_of_Reflections(sim)                     : 8.226277
D02_Number_of_Reflections_Twice(sim)               : 0.000000
E01_Number_of_Selected_Beacons                     : 4.021110
F01_Number_of_Failed_Timesteps                     : 0.005250
F02_Number_of_Timesteps                            : 20001.000000
G01_Estimation_Error(sim)                          : 88.269088
G02_Estimation_Error_Reference(sim)                : 300.146448
