72.642961	98.684054
N_steps             : 20001
error(proposed)     : 72.642961
error(original)     : 98.684054
A01_Estimator_Total_Time                           : 1537.929822
A02_Estimator_Setup_Time                           : 3.334490
A03_Estimator_Solving_Time                         : 1457.343426
A04_Estimator_Filtering_Process_Time               : 5.059927
A05_Estimator_KF_Process_Time                      : 70.181780
A06_Solver_PMSs_Solving_Time                       : 1413.785470
B01_Number_of_PMSs                                 : 30.820743
B02_Number_of_Filtered_PMSs                        : 5.063975
B03_Number_of_PMSs_to_KF                           : 5.063975
C01_Number_of_Selection_Fail_Timesteps             : 0.039741
C02_Number_of_opt1_Fail                            : 0.000000
C03_Number_of_Threshold_opt_Fail                   : 0.011670
C04_Number_of_Kalman_Filter_Fail_Timesteps         : 0.011670
D01_Number_of_Reflections(sim)                     : 0.506650
D02_Number_of_Reflections_Twice(sim)               : 0.000000
E01_Number_of_Selected_Beacons                     : 3.717920
F01_Number_of_Failed_Timesteps                     : 0.048898
F02_Number_of_Timesteps                            : 20001.000000
G01_Estimation_Error(sim)                          : 72.642961
G02_Estimation_Error_Reference(sim)                : 98.684054
G03_Estimation_Error_Except_Fail                   : 68.974566
G04_Estimation_Error_Except_Fail_Ref               : 91.817605
G05_Estimation_Error_Except_Strict_Fail            : 47.022022
G06_Estimation_Error_Except_Strict_Fail_Ref        : 67.953622
H01_Reception_Fails(<3)                            : 0.037798
H02_Reception_Fails_Ref.(<3)                       : 0.037798
H03_Strict_Reception_Fails(<_NV)                   : 0.350482
H04_Strict_Reception_Fails_Ref.(<_NV)              : 0.350482
