147.188112	259.075503
N_steps             : 20001
error(proposed)     : 147.188112
error(original)     : 259.075503
A01_Estimator_Total_Time                           : 1970.106978
A02_Estimator_Setup_Time                           : 5.403634
A03_Estimator_Solving_Time                         : 1788.855326
A04_Estimator_Filtering_Process_Time               : 6.347968
A05_Estimator_KF_Process_Time                      : 168.006808
A06_Solver_PMSs_Solving_Time                       : 1731.283290
B01_Number_of_PMSs                                 : 38.288746
B02_Number_of_Filtered_PMSs                        : 12.647477
C01_Number_of_Selection_Fail_Timesteps             : 0.001151
C02_Number_of_opt1_Fail                            : 0.000000
C03_Number_of_Threshold_opt_Fail                   : 0.000100
C04_Number_of_Kalman_Filter_Fail_Timesteps         : 0.000100
D01_Number_of_Reflections(sim)                     : 4.353474
D02_Number_of_Reflections_Twice(sim)               : 0.000000
E01_Number_of_Selected_Beacons                     : 3.000300
F01_Number_of_Failed_Timesteps                     : 0.001250
F02_Number_of_Timesteps                            : 20001.000000
G01_Estimation_Error(sim)                          : 147.188112
G02_Estimation_Error_Reference(sim)                : 259.075503
