111.724804	261.174190
N_steps             : 20001
error(proposed)     : 111.724804
error(original)     : 261.174190
A01_Estimator_Total_Time                           : 1503.584158
A02_Estimator_Setup_Time                           : 7.561003
A03_Estimator_Solving_Time                         : 1397.899091
A04_Estimator_Filtering_Process_Time               : 3.112010
A05_Estimator_KF_Process_Time                      : 93.383947
A06_Solver_PMSs_Solving_Time                       : 1364.236627
B01_Number_of_PMSs                                 : 21.445879
B02_Number_of_Filtered_PMSs                        : 6.526144
C01_Number_of_Selection_Fail_Timesteps             : 0.000000
C02_Number_of_opt1_Fail                            : 0.000000
C03_Number_of_Threshold_opt_Fail                   : 0.004621
C04_Number_of_Kalman_Filter_Fail_Timesteps         : 0.004621
D01_Number_of_Reflections(sim)                     : 9.130544
D02_Number_of_Reflections_Twice(sim)               : 0.000000
E01_Number_of_Selected_Beacons                     : 3.013863
F01_Number_of_Failed_Timesteps                     : 0.004600
F02_Number_of_Timesteps                            : 20001.000000
G01_Estimation_Error(sim)                          : 111.724804
G02_Estimation_Error_Reference(sim)                : 261.174190
