38.041538	66.319334
N_steps             : 20001
error(proposed)     : 38.041538
error(original)     : 66.319334
A01_Estimator_Total_Time                           : 1320.029453
A02_Estimator_Setup_Time                           : 2.730549
A03_Estimator_Solving_Time                         : 1253.251789
A04_Estimator_Filtering_Process_Time               : 4.230833
A05_Estimator_KF_Process_Time                      : 58.255857
A06_Solver_PMSs_Solving_Time                       : 1215.392101
B01_Number_of_PMSs                                 : 23.906905
B02_Number_of_Filtered_PMSs                        : 3.949848
B03_Number_of_PMSs_to_KF                           : 3.949848
C01_Number_of_Selection_Fail_Timesteps             : 0.019412
C02_Number_of_opt1_Fail                            : 0.000000
C03_Number_of_Threshold_opt_Fail                   : 0.010453
C04_Number_of_Kalman_Filter_Fail_Timesteps         : 0.010453
D01_Number_of_Reflections(sim)                     : 0.681376
D02_Number_of_Reflections_Twice(sim)               : 0.000000
E01_Number_of_Selected_Beacons                     : 3.952732
F01_Number_of_Failed_Timesteps                     : 0.028999
F02_Number_of_Timesteps                            : 20001.000000
G01_Estimation_Error(sim)                          : 38.041538
G02_Estimation_Error_Reference(sim)                : 66.319334
G03_Estimation_Error_Except_Fail                   : 36.121820
G04_Estimation_Error_Except_Fail_Ref               : 62.692790
G05_Estimation_Error_Except_Strict_Fail            : 36.383774
G06_Estimation_Error_Except_Strict_Fail_Ref        : 61.180805
H01_Reception_Fails(<3)                            : 0.018849
H02_Reception_Fails_Ref.(<3)                       : 0.018849
H03_Strict_Reception_Fails(<_NV)                   : 0.105345
H04_Strict_Reception_Fails_Ref.(<_NV)              : 0.105345
