32.216459	72.174291
N_steps             : 20001
error(proposed)     : 32.216459
error(original)     : 72.174291
A01_Estimator_Total_Time                           : 4843.158923
A02_Estimator_Setup_Time                           : 3.411595
A03_Estimator_Solving_Time                         : 4752.461811
A04_Estimator_Filtering_Process_Time               : 18.004883
A05_Estimator_KF_Process_Time                      : 67.041889
A06_Solver_PMSs_Solving_Time                       : 4616.216180
B01_Number_of_PMSs                                 : 90.193565
B02_Number_of_Filtered_PMSs                        : 4.254266
B03_Number_of_PMSs_to_KF                           : 4.254266
C01_Number_of_Selection_Fail_Timesteps             : 0.000000
C02_Number_of_opt1_Fail                            : 0.000000
C03_Number_of_Threshold_opt_Fail                   : 0.028012
C04_Number_of_Kalman_Filter_Fail_Timesteps         : 0.028012
D01_Number_of_Reflections(sim)                     : 0.878238
D02_Number_of_Reflections_Twice(sim)               : 0.000000
E01_Number_of_Selected_Beacons                     : 5.113898
F01_Number_of_Failed_Timesteps                     : 0.027249
F02_Number_of_Timesteps                            : 20001.000000
G01_Estimation_Error(sim)                          : 32.216459
G02_Estimation_Error_Reference(sim)                : 72.174291
G03_Estimation_Error_Except_Fail                   : 32.216459
G04_Estimation_Error_Except_Fail_Ref               : 72.174291
G05_Estimation_Error_Except_Strict_Fail            : 28.801450
G06_Estimation_Error_Except_Strict_Fail_Ref        : 69.217604
H01_Reception_Fails(<3)                            : 0.000000
H02_Reception_Fails_Ref.(<3)                       : 0.000000
H03_Strict_Reception_Fails(<_NV)                   : 0.024449
H04_Strict_Reception_Fails_Ref.(<_NV)              : 0.024449
