147.869520	149.556627
N_steps             : 20001
error(proposed)     : 147.869520
error(original)     : 149.556627
A01_Estimator_Total_Time                           : 5445.763416
A02_Estimator_Setup_Time                           : 4500.603158
A03_Estimator_Solving_Time                         : 881.800190
A04_Estimator_Filtering_Process_Time               : 4.298655
A05_Estimator_KF_Process_Time                      : 57.636862
A06_Solver_PMSs_Solving_Time                       : 848.378710
B01_Number_of_PMSs                                 : 18.859994
B02_Number_of_Filtered_PMSs                        : 4.074280
C01_Number_of_Selection_Fail_Timesteps             : 0.447653
C02_Number_of_opt1_Fail                            : 0.000000
C03_Number_of_Threshold_opt_Fail                   : 0.014622
C04_Number_of_Kalman_Filter_Fail_Timesteps         : 0.014622
D01_Number_of_Reflections(sim)                     : 0.582322
D02_Number_of_Reflections_Twice(sim)               : 0.000000
E01_Number_of_Selected_Beacons                     : 3.852098
F01_Number_of_Failed_Timesteps                     : 0.316134
F02_Number_of_Timesteps                            : 20001.000000
G01_Estimation_Error(sim)                          : 147.869520
G02_Estimation_Error_Reference(sim)                : 149.556627
G03_Estimation_Error_Except_Fail                   : 81.538623
G04_Estimation_Error_Except_Fail_Ref               : 89.814718
G05_Estimation_Error_Except_Strict_Fail            : 25.729392
G06_Estimation_Error_Except_Strict_Fail_Ref        : 24.543385
H01_Reception_Fails(<3)                            : 0.306135
H02_Reception_Fails_Ref.(<3)                       : 0.306135
H03_Strict_Reception_Fails(<_NV)                   : 0.803660
H04_Strict_Reception_Fails_Ref.(<_NV)              : 0.803660
