26.912227	69.567273
N_steps             : 20001
error(proposed)     : 26.912227
error(original)     : 69.567273
A01_Estimator_Total_Time                           : 4399.776812
A02_Estimator_Setup_Time                           : 3.220530
A03_Estimator_Solving_Time                         : 4303.406093
A04_Estimator_Filtering_Process_Time               : 17.725948
A05_Estimator_KF_Process_Time                      : 72.548001
A06_Solver_PMSs_Solving_Time                       : 4184.762652
B01_Number_of_PMSs                                 : 67.209079
B02_Number_of_Filtered_PMSs                        : 3.850322
B03_Number_of_PMSs_to_KF                           : 3.850322
C01_Number_of_Selection_Fail_Timesteps             : 0.000000
C02_Number_of_opt1_Fail                            : 0.000000
C03_Number_of_Threshold_opt_Fail                   : 0.022441
C04_Number_of_Kalman_Filter_Fail_Timesteps         : 0.022441
D01_Number_of_Reflections(sim)                     : 1.305950
D02_Number_of_Reflections_Twice(sim)               : 0.000000
E01_Number_of_Selected_Beacons                     : 5.072283
F01_Number_of_Failed_Timesteps                     : 0.021949
F02_Number_of_Timesteps                            : 20001.000000
G01_Estimation_Error(sim)                          : 26.912227
G02_Estimation_Error_Reference(sim)                : 69.567273
G03_Estimation_Error_Except_Fail                   : 26.912227
G04_Estimation_Error_Except_Fail_Ref               : 69.567273
G05_Estimation_Error_Except_Strict_Fail            : 26.412386
G06_Estimation_Error_Except_Strict_Fail_Ref        : 69.535006
H01_Reception_Fails(<3)                            : 0.000000
H02_Reception_Fails_Ref.(<3)                       : 0.000000
H03_Strict_Reception_Fails(<_NV)                   : 0.039048
H04_Strict_Reception_Fails_Ref.(<_NV)              : 0.039048
