109.032972	85.451583
N_steps             : 20000
error(proposed)     : 109.032972
error(original)     : 85.451583
A01_Estimator_Total_Time                           : 1841428.904288
A02_Estimator_Setup_Time                           : 2.494476
A03_Estimator_Solving_Time                         : 1787234.000000
A04_Estimator_Filtering_Process_Time               : 8878.190369
A05_Estimator_KF_Process_Time                      : 41619.262278
A06_Solver_PMSs_Solving_Time                       : 1739545.056091
B01_Number_of_PMSs                                 : 40160.499548
B02_Number_of_Filtered_PMSs                        : 3159.476248
B03_Number_of_PMSs_to_KF                           : 3159.476248
C01_Number_of_Selection_Fail_Timesteps             : 0.004067
C02_Number_of_opt1_Fail                            : 0.000000
C03_Number_of_Threshold_opt_Fail                   : 0.000251
C04_Number_of_Kalman_Filter_Fail_Timesteps         : 0.000251
D01_Number_of_Reflections(sim)                     : 2.058351
D02_Number_of_Reflections_Twice(sim)               : 0.045295
E01_Number_of_Selected_Beacons                     : 4.955659
F01_Number_of_Failed_Timesteps                     : 0.004300
F02_Number_of_Timesteps                            : 20000.000000
G01_Estimation_Error(sim)                          : 109.032972
G02_Estimation_Error_Reference(sim)                : 85.451583
G03_Estimation_Error_Except_Fail                   : 109.171255
G04_Estimation_Error_Except_Fail_Ref               : 85.268200
G05_Estimation_Error_Except_Strict_Fail            : 108.584454
G06_Estimation_Error_Except_Strict_Fail_Ref        : 78.310414
H01_Reception_Fails(<3)                            : 0.004050
H02_Reception_Fails_Ref.(<3)                       : 0.004050
H03_Strict_Reception_Fails(<_NV)                   : 0.042950
H04_Strict_Reception_Fails_Ref.(<_NV)              : 0.042950
