44.927029	74.058915
N_steps             : 20001
error(proposed)     : 44.927029
error(original)     : 74.058915
A01_Estimator_Total_Time                           : 5180.260822
A02_Estimator_Setup_Time                           : 346.862961
A03_Estimator_Solving_Time                         : 4708.686100
A04_Estimator_Filtering_Process_Time               : 17.922266
A05_Estimator_KF_Process_Time                      : 104.068846
A06_Solver_PMSs_Solving_Time                       : 4574.328513
B01_Number_of_PMSs                                 : 78.744602
B02_Number_of_Filtered_PMSs                        : 6.669981
C01_Number_of_Selection_Fail_Timesteps             : 0.000000
C02_Number_of_opt1_Fail                            : 0.000000
C03_Number_of_Threshold_opt_Fail                   : 0.004369
C04_Number_of_Kalman_Filter_Fail_Timesteps         : 0.004369
D01_Number_of_Reflections(sim)                     : 1.184795
D02_Number_of_Reflections_Twice(sim)               : 0.000000
E01_Number_of_Selected_Beacons                     : 4.959928
F01_Number_of_Failed_Timesteps                     : 0.004350
F02_Number_of_Timesteps                            : 20001.000000
G01_Estimation_Error(sim)                          : 44.927029
G02_Estimation_Error_Reference(sim)                : 74.058915
G03_Estimation_Error_Except_Fail                   : 44.927029
G04_Estimation_Error_Except_Fail_Ref               : 74.058915
G05_Estimation_Error_Except_Strict_Fail            : 40.873230
G06_Estimation_Error_Except_Strict_Fail_Ref        : 71.037140
H01_Reception_Fails(<3)                            : 0.000000
H02_Reception_Fails_Ref.(<3)                       : 0.000000
H03_Strict_Reception_Fails(<_NV)                   : 0.051847
H04_Strict_Reception_Fails_Ref.(<_NV)              : 0.051847
