74.266025	118.875331
N_steps             : 20001
error(proposed)     : 74.266025
error(original)     : 118.875331
A01_Estimator_Total_Time                           : 591.539123
A02_Estimator_Setup_Time                           : 3.081146
A03_Estimator_Solving_Time                         : 526.753912
A04_Estimator_Filtering_Process_Time               : 2.017399
A05_Estimator_KF_Process_Time                      : 58.860557
A06_Solver_PMSs_Solving_Time                       : 510.691865
B01_Number_of_PMSs                                 : 9.088996
B02_Number_of_Filtered_PMSs                        : 4.144693
C01_Number_of_Selection_Fail_Timesteps             : 0.000000
C02_Number_of_opt1_Fail                            : 0.000000
C03_Number_of_Threshold_opt_Fail                   : 0.000000
C04_Number_of_Kalman_Filter_Fail_Timesteps         : 0.000000
D01_Number_of_Reflections(sim)                     : 1.408680
D02_Number_of_Reflections_Twice(sim)               : 0.000000
E01_Number_of_Selected_Beacons                     : 3.000000
F01_Number_of_Failed_Timesteps                     : 0.000000
F02_Number_of_Timesteps                            : 20001.000000
G01_Estimation_Error(sim)                          : 74.266025
G02_Estimation_Error_Reference(sim)                : 118.875331
G03_Estimation_Error_Except_Fail                   : 74.266025
G04_Estimation_Error_Except_Fail_Ref               : 118.875331
G05_Estimation_Error_Except_Strict_Fail            : 74.266025
G06_Estimation_Error_Except_Strict_Fail_Ref        : 118.875331
H01_Reception_Fails(<3)                            : 0.000000
H02_Reception_Fails_Ref.(<3)                       : 0.000000
H03_Strict_Reception_Fails(<_NV)                   : 0.000000
H04_Strict_Reception_Fails_Ref.(<_NV)              : 0.000000
