21.153028	243.679631
N_steps             : 20001
error(proposed)     : 21.153028
error(original)     : 243.679631
A01_Estimator_Total_Time                           : 3475.715545
A02_Estimator_Setup_Time                           : 4.397124
A03_Estimator_Solving_Time                         : 3409.661440
A04_Estimator_Filtering_Process_Time               : 12.996643
A05_Estimator_KF_Process_Time                      : 45.368969
A06_Solver_PMSs_Solving_Time                       : 3316.573118
B01_Number_of_PMSs                                 : 74.830970
B02_Number_of_Filtered_PMSs                        : 3.360854
B03_Number_of_PMSs_to_KF                           : 3.360854
C01_Number_of_Selection_Fail_Timesteps             : 0.000000
C02_Number_of_opt1_Fail                            : 0.000000
C03_Number_of_Threshold_opt_Fail                   : 0.002004
C04_Number_of_Kalman_Filter_Fail_Timesteps         : 0.002004
D01_Number_of_Reflections(sim)                     : 11.614448
D02_Number_of_Reflections_Twice(sim)               : 0.004759
E01_Number_of_Selected_Beacons                     : 5.010020
F01_Number_of_Failed_Timesteps                     : 0.002000
F02_Number_of_Timesteps                            : 20001.000000
G01_Estimation_Error(sim)                          : 21.153028
G02_Estimation_Error_Reference(sim)                : 243.679631
G03_Estimation_Error_Except_Fail                   : 21.153028
G04_Estimation_Error_Except_Fail_Ref               : 243.679631
G05_Estimation_Error_Except_Strict_Fail            : 21.153028
G06_Estimation_Error_Except_Strict_Fail_Ref        : 243.679631
H01_Reception_Fails(<3)                            : 0.000000
H02_Reception_Fails_Ref.(<3)                       : 0.000000
H03_Strict_Reception_Fails(<_NV)                   : 0.000000
H04_Strict_Reception_Fails_Ref.(<_NV)              : 0.000000
