89.121897	265.343229
N_steps             : 20001
error(proposed)     : 89.121897
error(original)     : 265.343229
A01_Estimator_Total_Time                           : 5486.802304
A02_Estimator_Setup_Time                           : 9.506313
A03_Estimator_Solving_Time                         : 5200.509784
A04_Estimator_Filtering_Process_Time               : 15.972534
A05_Estimator_KF_Process_Time                      : 257.518990
A06_Solver_PMSs_Solving_Time                       : 5067.814830
B01_Number_of_PMSs                                 : 86.759495
B02_Number_of_Filtered_PMSs                        : 15.662709
C01_Number_of_Selection_Fail_Timesteps             : 0.000000
C02_Number_of_opt1_Fail                            : 0.000000
C03_Number_of_Threshold_opt_Fail                   : 0.006137
C04_Number_of_Kalman_Filter_Fail_Timesteps         : 0.006137
D01_Number_of_Reflections(sim)                     : 7.884199
D02_Number_of_Reflections_Twice(sim)               : 0.000000
E01_Number_of_Selected_Beacons                     : 4.024549
F01_Number_of_Failed_Timesteps                     : 0.006100
F02_Number_of_Timesteps                            : 20001.000000
G01_Estimation_Error(sim)                          : 89.121897
G02_Estimation_Error_Reference(sim)                : 265.343229
