38.058743	69.351989
N_steps             : 20001
error(proposed)     : 38.058743
error(original)     : 69.351989
A01_Estimator_Total_Time                           : 5284.449455
A02_Estimator_Setup_Time                           : 677.292726
A03_Estimator_Solving_Time                         : 4496.652240
A04_Estimator_Filtering_Process_Time               : 16.491929
A05_Estimator_KF_Process_Time                      : 91.616122
A06_Solver_PMSs_Solving_Time                       : 4364.896086
B01_Number_of_PMSs                                 : 74.482748
B02_Number_of_Filtered_PMSs                        : 5.389427
C01_Number_of_Selection_Fail_Timesteps             : 0.001665
C02_Number_of_opt1_Fail                            : 0.000000
C03_Number_of_Threshold_opt_Fail                   : 0.007264
C04_Number_of_Kalman_Filter_Fail_Timesteps         : 0.007264
D01_Number_of_Reflections(sim)                     : 0.950061
D02_Number_of_Reflections_Twice(sim)               : 0.000000
E01_Number_of_Selected_Beacons                     : 4.888015
F01_Number_of_Failed_Timesteps                     : 0.008850
F02_Number_of_Timesteps                            : 20001.000000
G01_Estimation_Error(sim)                          : 38.058743
G02_Estimation_Error_Reference(sim)                : 69.351989
G03_Estimation_Error_Except_Fail                   : 37.849928
G04_Estimation_Error_Except_Fail_Ref               : 68.862123
G05_Estimation_Error_Except_Strict_Fail            : 31.813530
G06_Estimation_Error_Except_Strict_Fail_Ref        : 58.920719
H01_Reception_Fails(<3)                            : 0.001650
H02_Reception_Fails_Ref.(<3)                       : 0.001650
H03_Strict_Reception_Fails(<_NV)                   : 0.116144
H04_Strict_Reception_Fails_Ref.(<_NV)              : 0.116144
