25.445907	232.235551
N_steps             : 20000
error(proposed)     : 25.445907
error(original)     : 232.235551
A01_Estimator_Total_Time                           : 14630.089796
A02_Estimator_Setup_Time                           : 9.704374
A03_Estimator_Solving_Time                         : 14314.253637
A04_Estimator_Filtering_Process_Time               : 67.771797
A05_Estimator_KF_Process_Time                      : 224.253637
A06_Solver_PMSs_Solving_Time                       : 13793.096418
B01_Number_of_PMSs                                 : 278.072088
B02_Number_of_Filtered_PMSs                        : 7.895555
B03_Number_of_PMSs_to_KF                           : 7.895555
C01_Number_of_Selection_Fail_Timesteps             : 0.001304
C02_Number_of_opt1_Fail                            : 0.000000
C03_Number_of_Threshold_opt_Fail                   : 0.002007
C04_Number_of_Kalman_Filter_Fail_Timesteps         : 0.002007
D01_Number_of_Reflections(sim)                     : 4.517307
D02_Number_of_Reflections_Twice(sim)               : 0.008829
E01_Number_of_Selected_Beacons                     : 5.002308
F01_Number_of_Failed_Timesteps                     : 0.003300
F02_Number_of_Timesteps                            : 20000.000000
G01_Estimation_Error(sim)                          : 25.445907
G02_Estimation_Error_Reference(sim)                : 232.235551
G03_Estimation_Error_Except_Fail                   : 25.384946
G04_Estimation_Error_Except_Fail_Ref               : 232.459144
G05_Estimation_Error_Except_Strict_Fail            : 25.353076
G06_Estimation_Error_Except_Strict_Fail_Ref        : 232.029341
H01_Reception_Fails(<3)                            : 0.001300
H02_Reception_Fails_Ref.(<3)                       : 0.001300
H03_Strict_Reception_Fails(<_NV)                   : 0.008950
H04_Strict_Reception_Fails_Ref.(<_NV)              : 0.008950
