176.771136	192.441973
N_steps             : 20001
error(proposed)     : 176.771136
error(original)     : 192.441973
A01_Estimator_Total_Time                           : 837.943646
A02_Estimator_Setup_Time                           : 5.378729
A03_Estimator_Solving_Time                         : 762.777716
A04_Estimator_Filtering_Process_Time               : 2.937937
A05_Estimator_KF_Process_Time                      : 65.509392
A06_Solver_PMSs_Solving_Time                       : 735.588122
B01_Number_of_PMSs                                 : 16.742265
B02_Number_of_Filtered_PMSs                        : 4.823389
B03_Number_of_PMSs_to_KF                           : 4.823389
C01_Number_of_Selection_Fail_Timesteps             : 0.834622
C02_Number_of_opt1_Fail                            : 0.000000
C03_Number_of_Threshold_opt_Fail                   : 0.007090
C04_Number_of_Kalman_Filter_Fail_Timesteps         : 0.007090
D01_Number_of_Reflections(sim)                     : 0.623204
D02_Number_of_Reflections_Twice(sim)               : 0.000000
E01_Number_of_Selected_Beacons                     : 3.357366
F01_Number_of_Failed_Timesteps                     : 0.457027
F02_Number_of_Timesteps                            : 20001.000000
G01_Estimation_Error(sim)                          : 176.771136
G02_Estimation_Error_Reference(sim)                : 192.441973
G03_Estimation_Error_Except_Fail                   : 101.709291
G04_Estimation_Error_Except_Fail_Ref               : 92.135047
G05_Estimation_Error_Except_Strict_Fail            : 47.808398
G06_Estimation_Error_Except_Strict_Fail_Ref        : 30.663573
H01_Reception_Fails(<3)                            : 0.453177
H02_Reception_Fails_Ref.(<3)                       : 0.453177
H03_Strict_Reception_Fails(<_NV)                   : 0.817509
H04_Strict_Reception_Fails_Ref.(<_NV)              : 0.817509
