60.218217	86.765816
N_steps             : 20001
error(proposed)     : 60.218217
error(original)     : 86.765816
A01_Estimator_Total_Time                           : 754.432565
A02_Estimator_Setup_Time                           : 3.587713
A03_Estimator_Solving_Time                         : 682.445314
A04_Estimator_Filtering_Process_Time               : 2.490990
A05_Estimator_KF_Process_Time                      : 64.831853
A06_Solver_PMSs_Solving_Time                       : 660.144506
A07_Number_of_PMSs                                 : 11.314561
A08_Number_of_Filtered_PMSs                        : 3.984440
A09_Number_of_Selection_Fail_Timesteps             : 0.000000
A10_Number_of_opt1_Fail                            : 0.000000
A11_Number_of_Threshold_opt_Fail                   : 0.003915
A12_Number_of_Kalman_Filter_Fail_Timesteps         : 0.003915
A13_Number_of_Reflections                          : 0.000000
A14_Number_of_Reflections_Twice                    : 0.000000
A15_Number_of_Selected_Beacons                     : 3.011745
A16_Number_of_Failed_Timesteps                     : 0.003900
A17_Number_of_Timesteps                            : 20001.000000
A18_Estimation_Error(sim)                          : 60.218217
A18_Estimation_Error(sim)                          : 86.765816
