94.819821	83.818976
N_steps             : 20001
error(proposed)     : 94.819821
error(original)     : 83.818976
A01_Estimator_Total_Time                           : 865.816103
A02_Estimator_Setup_Time                           : 4.044771
A03_Estimator_Solving_Time                         : 785.697082
A04_Estimator_Filtering_Process_Time               : 2.508022
A05_Estimator_KF_Process_Time                      : 72.020957
A06_Solver_PMSs_Solving_Time                       : 759.012032
A07_Number_of_PMSs                                 : 13.336759
A08_Number_of_Filtered_PMSs                        : 4.430312
A09_Number_of_Selection_Fail_Timesteps             : 0.000852
A10_Number_of_opt1_Fail                            : 0.000000
A11_Number_of_Threshold_opt_Fail                   : 0.001905
A12_Number_of_Kalman_Filter_Fail_Timesteps         : 0.001905
A13_Number_of_Reflections                          : 0.000000
A14_Number_of_Reflections_Twice                    : 0.000000
A15_Number_of_Selected_Beacons                     : 3.005715
A16_Number_of_Failed_Timesteps                     : 0.002750
A17_Number_of_Timesteps                            : 20001.000000
A18_Estimation_Error(sim)                          : 94.819821
A18_Estimation_Error(sim)                          : 83.818976
