177.043646	198.698095
N_steps             : 20000
error(proposed)     : 177.043646
error(original)     : 198.698095
A01_Estimator_Total_Time                           : 39550.355440
A02_Estimator_Setup_Time                           : 3.651489
A03_Estimator_Solving_Time                         : 29495.305136
A04_Estimator_Filtering_Process_Time               : 0.000000
A05_Estimator_KF_Process_Time                      : 10043.374667
A06_Solver_PMSs_Solving_Time                       : 28832.567800
B01_Number_of_PMSs                                 : 482.582911
B02_Number_of_Filtered_PMSs                        : 0.000000
B03_Number_of_PMSs_to_KF                           : 482.582911
C01_Number_of_Selection_Fail_Timesteps             : 0.004066
C02_Number_of_opt1_Fail                            : 0.000000
C03_Number_of_Threshold_opt_Fail                   : 0.000000
C04_Number_of_Kalman_Filter_Fail_Timesteps         : 0.000000
D01_Number_of_Reflections(sim)                     : 2.057834
D02_Number_of_Reflections_Twice(sim)               : 0.045283
E01_Number_of_Selected_Beacons                     : 3.000000
F01_Number_of_Failed_Timesteps                     : 0.004050
F02_Number_of_Timesteps                            : 20000.000000
G01_Estimation_Error(sim)                          : 177.043646
G02_Estimation_Error_Reference(sim)                : 198.698095
G03_Estimation_Error_Except_Fail                   : 176.796783
G04_Estimation_Error_Except_Fail_Ref               : 198.560768
G05_Estimation_Error_Except_Strict_Fail            : 176.796783
G06_Estimation_Error_Except_Strict_Fail_Ref        : 198.560768
H01_Reception_Fails(<3)                            : 0.004050
H02_Reception_Fails_Ref.(<3)                       : 0.004050
H03_Strict_Reception_Fails(<_NV)                   : 0.004050
H04_Strict_Reception_Fails_Ref.(<_NV)              : 0.004050
