34.829767	78.370220
N_steps             : 20001
error(proposed)     : 34.829767
error(original)     : 78.370220
A01_Estimator_Total_Time                           : 1572.738424
A02_Estimator_Setup_Time                           : 3.860327
A03_Estimator_Solving_Time                         : 1493.283662
A04_Estimator_Filtering_Process_Time               : 4.768176
A05_Estimator_KF_Process_Time                      : 68.909474
A06_Solver_PMSs_Solving_Time                       : 1449.249340
B01_Number_of_PMSs                                 : 26.967201
B02_Number_of_Filtered_PMSs                        : 4.289348
B03_Number_of_PMSs_to_KF                           : 4.289348
C01_Number_of_Selection_Fail_Timesteps             : 0.007463
C02_Number_of_opt1_Fail                            : 0.000000
C03_Number_of_Threshold_opt_Fail                   : 0.008022
C04_Number_of_Kalman_Filter_Fail_Timesteps         : 0.008022
D01_Number_of_Reflections(sim)                     : 0.896730
D02_Number_of_Reflections_Twice(sim)               : 0.000000
E01_Number_of_Selected_Beacons                     : 3.963190
F01_Number_of_Failed_Timesteps                     : 0.015249
F02_Number_of_Timesteps                            : 20001.000000
G01_Estimation_Error(sim)                          : 34.829767
G02_Estimation_Error_Reference(sim)                : 78.370220
G03_Estimation_Error_Except_Fail                   : 34.000806
G04_Estimation_Error_Except_Fail_Ref               : 75.748617
G05_Estimation_Error_Except_Strict_Fail            : 32.215007
G06_Estimation_Error_Except_Strict_Fail_Ref        : 74.079613
H01_Reception_Fails(<3)                            : 0.007350
H02_Reception_Fails_Ref.(<3)                       : 0.007350
H03_Strict_Reception_Fails(<_NV)                   : 0.075196
H04_Strict_Reception_Fails_Ref.(<_NV)              : 0.075196
