76.016393	103.580779
N_steps             : 20001
error(proposed)     : 76.016393
error(original)     : 103.580779
A01_Estimator_Total_Time                           : 2415.645901
A02_Estimator_Setup_Time                           : 4.482862
A03_Estimator_Solving_Time                         : 2333.322487
A04_Estimator_Filtering_Process_Time               : 9.408754
A05_Estimator_KF_Process_Time                      : 66.465551
A06_Solver_PMSs_Solving_Time                       : 2264.188397
B01_Number_of_PMSs                                 : 45.258800
B02_Number_of_Filtered_PMSs                        : 4.149664
B03_Number_of_PMSs_to_KF                           : 4.149664
C01_Number_of_Selection_Fail_Timesteps             : 0.124479
C02_Number_of_opt1_Fail                            : 0.000000
C03_Number_of_Threshold_opt_Fail                   : 0.033522
C04_Number_of_Kalman_Filter_Fail_Timesteps         : 0.033522
D01_Number_of_Reflections(sim)                     : 0.657886
D02_Number_of_Reflections_Twice(sim)               : 0.000000
E01_Number_of_Selected_Beacons                     : 4.560503
F01_Number_of_Failed_Timesteps                     : 0.136443
F02_Number_of_Timesteps                            : 20001.000000
G01_Estimation_Error(sim)                          : 76.016393
G02_Estimation_Error_Reference(sim)                : 103.580779
G03_Estimation_Error_Except_Fail                   : 57.476200
G04_Estimation_Error_Except_Fail_Ref               : 80.822678
G05_Estimation_Error_Except_Strict_Fail            : 39.673004
G06_Estimation_Error_Except_Strict_Fail_Ref        : 41.876724
H01_Reception_Fails(<3)                            : 0.107495
H02_Reception_Fails_Ref.(<3)                       : 0.107495
H03_Strict_Reception_Fails(<_NV)                   : 0.479326
H04_Strict_Reception_Fails_Ref.(<_NV)              : 0.479326
