66.708746	81.647788
N_steps             : 20001
error(proposed)     : 66.708746
error(original)     : 81.647788
A01_Estimator_Total_Time                           : 2159.437440
A02_Estimator_Setup_Time                           : 3.705417
A03_Estimator_Solving_Time                         : 2063.404586
A04_Estimator_Filtering_Process_Time               : 8.483296
A05_Estimator_KF_Process_Time                      : 82.049735
A06_Solver_PMSs_Solving_Time                       : 2000.465860
B01_Number_of_PMSs                                 : 44.109398
B02_Number_of_Filtered_PMSs                        : 5.850239
B03_Number_of_PMSs_to_KF                           : 5.850239
C01_Number_of_Selection_Fail_Timesteps             : 0.000705
C02_Number_of_opt1_Fail                            : 0.000000
C03_Number_of_Threshold_opt_Fail                   : 0.007155
C04_Number_of_Kalman_Filter_Fail_Timesteps         : 0.007155
D01_Number_of_Reflections(sim)                     : 0.598539
D02_Number_of_Reflections_Twice(sim)               : 0.000000
E01_Number_of_Selected_Beacons                     : 3.904661
F01_Number_of_Failed_Timesteps                     : 0.007800
F02_Number_of_Timesteps                            : 20001.000000
G01_Estimation_Error(sim)                          : 66.708746
G02_Estimation_Error_Reference(sim)                : 81.647788
G03_Estimation_Error_Except_Fail                   : 66.636228
G04_Estimation_Error_Except_Fail_Ref               : 81.561514
G05_Estimation_Error_Except_Strict_Fail            : 57.219486
G06_Estimation_Error_Except_Strict_Fail_Ref        : 73.099654
H01_Reception_Fails(<3)                            : 0.000700
H02_Reception_Fails_Ref.(<3)                       : 0.000700
H03_Strict_Reception_Fails(<_NV)                   : 0.123694
H04_Strict_Reception_Fails_Ref.(<_NV)              : 0.123694
