67.916792	72.218499
N_steps             : 20001
error(proposed)     : 67.916792
error(original)     : 72.218499
A01_Estimator_Total_Time                           : 1125.393184
A02_Estimator_Setup_Time                           : 2.726217
A03_Estimator_Solving_Time                         : 1011.256018
A04_Estimator_Filtering_Process_Time               : 4.091578
A05_Estimator_KF_Process_Time                      : 106.031277
A06_Solver_PMSs_Solving_Time                       : 980.487765
B01_Number_of_PMSs                                 : 24.295501
B02_Number_of_Filtered_PMSs                        : 8.784016
B03_Number_of_PMSs_to_KF                           : 8.784016
C01_Number_of_Selection_Fail_Timesteps             : 0.000000
C02_Number_of_opt1_Fail                            : 0.000000
C03_Number_of_Threshold_opt_Fail                   : 0.000901
C04_Number_of_Kalman_Filter_Fail_Timesteps         : 0.000901
D01_Number_of_Reflections(sim)                     : 1.063554
D02_Number_of_Reflections_Twice(sim)               : 0.000000
E01_Number_of_Selected_Beacons                     : 3.002702
F01_Number_of_Failed_Timesteps                     : 0.000900
F02_Number_of_Timesteps                            : 20001.000000
G01_Estimation_Error(sim)                          : 67.916792
G02_Estimation_Error_Reference(sim)                : 72.218499
G03_Estimation_Error_Except_Fail                   : 67.916792
G04_Estimation_Error_Except_Fail_Ref               : 72.218499
G05_Estimation_Error_Except_Strict_Fail            : 67.916792
G06_Estimation_Error_Except_Strict_Fail_Ref        : 72.218499
H01_Reception_Fails(<3)                            : 0.000000
H02_Reception_Fails_Ref.(<3)                       : 0.000000
H03_Strict_Reception_Fails(<_NV)                   : 0.000000
H04_Strict_Reception_Fails_Ref.(<_NV)              : 0.000000
