41.505038	52.464421
N_steps             : 20001
error(proposed)     : 41.505038
error(original)     : 52.464421
A01_Estimator_Total_Time                           : 7387.414635
A02_Estimator_Setup_Time                           : 6.884010
A03_Estimator_Solving_Time                         : 7257.212969
A04_Estimator_Filtering_Process_Time               : 29.060573
A05_Estimator_KF_Process_Time                      : 90.286510
A06_Solver_PMSs_Solving_Time                       : 7033.674583
B01_Number_of_PMSs                                 : 151.695417
B02_Number_of_Filtered_PMSs                        : 5.451562
B03_Number_of_PMSs_to_KF                           : 5.451562
C01_Number_of_Selection_Fail_Timesteps             : 0.000000
C02_Number_of_opt1_Fail                            : 0.000000
C03_Number_of_Threshold_opt_Fail                   : 0.041719
C04_Number_of_Kalman_Filter_Fail_Timesteps         : 0.041719
D01_Number_of_Reflections(sim)                     : 1.106927
D02_Number_of_Reflections_Twice(sim)               : 0.000000
E01_Number_of_Selected_Beacons                     : 5.205521
F01_Number_of_Failed_Timesteps                     : 0.040048
F02_Number_of_Timesteps                            : 20001.000000
G01_Estimation_Error(sim)                          : 41.505038
G02_Estimation_Error_Reference(sim)                : 52.464421
G03_Estimation_Error_Except_Fail                   : 41.505038
G04_Estimation_Error_Except_Fail_Ref               : 52.464421
G05_Estimation_Error_Except_Strict_Fail            : 40.773578
G06_Estimation_Error_Except_Strict_Fail_Ref        : 52.452633
H01_Reception_Fails(<3)                            : 0.000000
H02_Reception_Fails_Ref.(<3)                       : 0.000000
H03_Strict_Reception_Fails(<_NV)                   : 0.002950
H04_Strict_Reception_Fails_Ref.(<_NV)              : 0.002950
